report_number,local_case_number,agency_name,acrs_report_type,crash_date_time,hit_run,lane_number,number_of_lanes,nontraffic,off_road_description,at_fault,collision_type,weather,light,traffic_control,driver_substance_abuse,first_harmful_event,second_harmful_event,fixed_oject_struck,route_type,mile_point,mile_point_direction,lane_direction,direction,distance,distance_unit,road_grade,road_name,cross_street_type,cross_street_name,municipality,surface_condition,junction,intersection_type,intersection_area,road_alignment,road_condition,road_division,related_non_motorist,non_motorist_substance_abuse,lane_type
MCP3016004S,230073428,Montgomery County Police,Property Damage Crash,2023-12-24T10:00:00.000,No,3,3,No,Missing,DRIVER,SAME DIR REAR END,RAINING,DAYLIGHT,FLASHING TRAFFIC SIGNAL,Missing,OTHER VEHICLE,Missing,Missing,County,0.27,South,South,South,0.0,FEET,LEVEL,FATHER HURLEY BLVD,Unknown,BEGIN BRIDGE,Missing,WET,INTERSECTION,T-INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP3350002G,230073423,Montgomery County Police,Injury Crash,2023-12-24T08:38:00.000,No,2,2,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,RAINING,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),4.04,North,South,North,0.0,FEET,LEVEL,OLD GEORGETOWN RD,County,TUCKERMAN LA,Missing,WET,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP3089004B,230073421,Montgomery County Police,Injury Crash,2023-12-24T07:24:00.000,No,3,3,No,Missing,DRIVER,SINGLE VEHICLE,CLEAR,DAYLIGHT,Missing,Missing,FIXED OBJECT,Missing,SIGN SUPPORT POLE,US (State),1.12,North,South,South,0.0,FEET,LEVEL,COLESVILLE RD,County,NOYES DR,Missing,DRY,Missing,Missing,Missing,STRAIGHT,Missing,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",Missing,Missing,Missing
MCP33760018,230073416,Montgomery County Police,Injury Crash,2023-12-24T02:59:00.000,No,0,3,No,Missing,DRIVER,SINGLE VEHICLE,CLEAR,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,UNKNOWN,FIXED OBJECT,FIXED OBJECT,SIGN SUPPORT POLE,Maryland (State),3.0,East,West,East,0.0,FEET,LEVEL,UNIVERSITY BLVD W,County,ARCOLA AVE,Missing,DRY,NON INTERSECTION,Missing,Missing,CURVE LEFT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,UNKNOWN
MCP31730034,230073412,Montgomery County Police,Property Damage Crash,2023-12-24T02:15:00.000,Yes,0,0,Yes,"PARKING LOT AZUL SPORT BAR LOCATED AT: 18749 NORTH FREDERICK AVE, GAITHERSBURG, MD",DRIVER,SAME DIRECTION SIDESWIPE,Missing,DARK LIGHTS ON,Missing,ALCOHOL CONTRIBUTED,OTHER VEHICLE,PARKED VEHICLE,LIGHT SUPPORT POLE,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
MCP3156002S,230073447,Montgomery County Police,Property Damage Crash,2023-12-24T01:48:00.000,Yes,0,0,Yes,PARKING LOT AT 8650 PINEY BRANCH RD.,DRIVER,SAME DIR REAR END,CLOUDY,DARK LIGHTS ON,Missing,Missing,PARKED VEHICLE,PARKED VEHICLE,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
MCP24640034,230073406,Montgomery County Police,Property Damage Crash,2023-12-23T23:35:00.000,Yes,0,0,Yes,PARKING LOT OF 650 UNIVERSITY BLVD E,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK LIGHTS ON,NO CONTROLS,"N/A, NONE DETECTED",OTHER VEHICLE,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
MCP2835003B,230073403,Montgomery County Police,Property Damage Crash,2023-12-23T23:27:00.000,No,2,3,No,Missing,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,Missing,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,OTHER VEHICLE,Missing,Maryland (State),0.06,North,North,North,0.0,FEET,LEVEL,WISCONSIN AVE,County,WILLARD AVE,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP32400038,230073400,Montgomery County Police,Property Damage Crash,2023-12-23T23:05:00.000,No,1,2,No,Missing,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,Missing,OTHER VEHICLE,Missing,Missing,County,0.39,East,East,East,0.0,FEET,LEVEL,MIDDLEBROOK RD,County,CENTURY BLVD,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP3221002Q,230073397,Montgomery County Police,Injury Crash,2023-12-23T22:25:00.000,Yes,1,1,No,Missing,DRIVER,OPPOSITE DIRECTION SIDESWIPE,CLEAR,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),3.66,North,North,North,10.0,FEET,LEVEL,FALLS RD,County,COLD SPRING RD,Missing,DRY,NON INTERSECTION,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP3228005L,230073396,Montgomery County Police,Property Damage Crash,2023-12-23T22:11:00.000,No,0,3,No,Missing,DRIVER,ANGLE MEETS LEFT TURN,CLEAR,DARK LIGHTS ON,NO CONTROLS,"NONE DETECTED, UNKNOWN",OTHER VEHICLE,Missing,CURB,Maryland (State),1.06,East,East,East,0.0,FEET,GRADE DOWNHILL,VEIRS MILL RD,Municipality,MIDWAY AVE,ROCKVILLE,DRY,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,CROSSOVER AREA
MCP23050035,230073395,Montgomery County Police,Property Damage Crash,2023-12-23T21:47:00.000,No,3,3,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,DARK LIGHTS ON,NO CONTROLS,"N/A, NONE DETECTED",OTHER VEHICLE,Missing,Missing,County,0.45,South,South,South,0.25,MILE,LEVEL,RIDGE RD,County,OBSERVATION DR,Missing,DRY,Missing,Missing,THRU ROADWAY,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP28460098,230073386,Montgomery County Police,Injury Crash,2023-12-23T20:15:00.000,Yes,3,3,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,DARK LIGHTS ON,NO CONTROLS,"NONE DETECTED, UNKNOWN",OTHER VEHICLE,Missing,Missing,Maryland (State),2.78,North,North,South,5.0,FEET,LEVEL,GEORGIA AVE,County,WINDHAM LA,Missing,DRY,NON INTERSECTION,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP2948006P,230073382,Montgomery County Police,Property Damage Crash,2023-12-23T20:10:00.000,No,1,3,No,Missing,UNKNOWN,ANGLE MEETS LEFT TURN,CLEAR,DARK -- UNKNOWN LIGHTING,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,County,4.36,East,East,East,0.0,FEET,LEVEL,RANDOLPH RD,County,MIDDLEVALE LA,Missing,DRY,Missing,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
EJ7847003B,230073378,Gaithersburg Police Depar,Property Damage Crash,2023-12-23T19:25:00.000,No,1,2,No,Missing,UNKNOWN,ANGLE MEETS LEFT TURN,CLEAR,DARK LIGHTS ON,NO CONTROLS,Missing,OTHER VEHICLE,Missing,Missing,Municipality,0.51,West,North,West,0.0,FEET,LEVEL,FIRSTFIELD RD,Municipality,QUINCE ORCHARD BLVD,GAITHERSBURG,DRY,INTERSECTION,T-INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP2399007L,230073374,Montgomery County Police,Property Damage Crash,2023-12-23T18:24:00.000,No,2,2,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK LIGHTS ON,STOP SIGN,NONE DETECTED,OTHER VEHICLE,Missing,Missing,County,1.84,North,South,North,0.0,FEET,LEVEL,MONTGOMERY VILLAGE AVE,County,MEADOWCROFT LA,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",Missing,Missing,Missing
MCP30800048,230073367,Montgomery County Police,Property Damage Crash,2023-12-23T17:52:00.000,No,1,2,No,Missing,DRIVER,SAME DIRECTION LEFT TURN,CLEAR,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,Missing,Missing,County,1.38,South,South,South,0.0,FEET,LEVEL,MATENY RD,County,BARLEYCORN WAY,Missing,DRY,INTERSECTION,T-INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP27230089,230073859,Montgomery County Police,Property Damage Crash,2023-12-23T17:40:00.000,Yes,0,0,Yes,13505 CONNECTICUT AVENUE,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,OTHER VEHICLE,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
MCP31610064,230073360,Montgomery County Police,Injury Crash,2023-12-23T17:31:00.000,No,0,3,No,Missing,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),4.69,North,South,North,0.0,FEET,LEVEL,CONNECTICUT AVE,County,DECATUR AVE,Missing,DRY,INTERSECTION RELATED,FOUR-WAY INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,LEFT TURN LANE
DD5643003C,230073348,Rockville Police Departme,Property Damage Crash,2023-12-23T17:02:00.000,No,2,2,No,Missing,DRIVER,OTHER,Missing,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),0.0,North,East,North,0.0,FEET,LEVEL,FIRST ST,Maryland (State),ROCKVILLE PIKE,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,INTERSECTION RELATED,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP295200F4,230073332,Montgomery County Police,Property Damage Crash,2023-12-23T14:49:00.000,No,1,3,No,Missing,DRIVER,SAME DIR REND LEFT TURN,CLOUDY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,US (State),1.51,North,North,South,10.0,FEET,LEVEL,COLESVILLE RD,County,DALE DR,Missing,DRY,INTERSECTION RELATED,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
DD5648002H,230073322,Rockville Police Departme,Property Damage Crash,2023-12-23T13:27:00.000,No,2,2,No,Missing,DRIVER,HEAD ON LEFT TURN,CLEAR,DAYLIGHT,Missing,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Municipality,0.47,West,East,West,20.0,FEET,LEVEL,ROLLINS AVE,Municipality,CONGRESSIONAL LA,ROCKVILLE,DRY,INTERSECTION RELATED,T-INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
EJ78950051,230073316,Gaithersburg Police Depar,Property Damage Crash,2023-12-23T13:15:00.000,No,0,1,No,Missing,UNKNOWN,STRAIGHT MOVEMENT ANGLE,CLOUDY,DAYLIGHT,STOP SIGN,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Municipality,0.34,East,East,East,0.0,FEET,LEVEL,TRAVIS AVE,Municipality,TRAVIS LA,GAITHERSBURG,DRY,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",Missing,Missing,Missing
MCP21950060,230073310,Montgomery County Police,Property Damage Crash,2023-12-23T13:08:00.000,No,1,3,No,Missing,DRIVER,SAME DIR REAR END,CLOUDY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,County,1.35,East,West,West,50.0,FEET,GRADE DOWNHILL,MIDDLEBROOK RD,County,WARING STATION RD,Missing,DRY,INTERSECTION RELATED,T-INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
DM8505000X,230073311,Takoma Park Police Depart,Property Damage Crash,2023-12-23T12:00:00.000,Yes,0,0,Yes,PARKING LOT OF 1101 UNIVERSITY BLVD E,DRIVER,OTHER,CLEAR,DAYLIGHT,NO CONTROLS,Missing,OTHER VEHICLE,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
MCP32630045,230073300,Montgomery County Police,Property Damage Crash,2023-12-23T11:47:00.000,Yes,3,3,No,Missing,DRIVER,SAME DIR REAR END,CLOUDY,DAYLIGHT,TRAFFIC SIGNAL,"NONE DETECTED, UNKNOWN",OTHER VEHICLE,OTHER VEHICLE,Missing,Maryland (State),4.24,North,South,North,0.0,FEET,LEVEL,CONNECTICUT AVE,Maryland (State),KNOWLES AVE,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP2016007M,230073302,Montgomery County Police,Property Damage Crash,2023-12-23T11:43:00.000,Yes,0,0,Yes,"PARKING LOT OF FEDERAL PLAZA 
12276 ROCKVILLE PIKE",DRIVER,OTHER,CLOUDY,DAYLIGHT,NO CONTROLS,Missing,PARKED VEHICLE,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
MCP3341002Z,230073308,Montgomery County Police,Property Damage Crash,2023-12-23T11:41:00.000,Yes,0,0,Yes,PARKING LOT OF 13625 GEORGIA AVE (LOTTE PLAZA),DRIVER,OPPOSITE DIRECTION SIDESWIPE,CLEAR,DAYLIGHT,NO CONTROLS,"ALCOHOL PRESENT, N/A",OTHER VEHICLE,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
MCP2052003J,230073293,Montgomery County Police,Property Damage Crash,2023-12-23T11:07:00.000,No,3,3,No,Missing,DRIVER,SAME DIRECTION SIDESWIPE,Missing,DAYLIGHT,Missing,NONE DETECTED,OTHER VEHICLE,FIXED OBJECT,CURB,County,3.06,North,North,South,300.0,FEET,LEVEL,SHADY GROVE RD,Ramp,RAMP 2 FR SHADY GROVE RD WB TO IS 270 NB,Missing,DRY,COMMERCIAL DRIVEWAY,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP2832008Z,230073284,Montgomery County Police,Property Damage Crash,2023-12-23T10:29:00.000,No,0,0,Yes,IN THE DRIVEWAY OF 11013 CRIPPLEGATE RD,DRIVER,SINGLE VEHICLE,CLOUDY,DAYLIGHT,Missing,NONE DETECTED,FIXED OBJECT,Missing,OTHER,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
MCP302600C8,230073285,Montgomery County Police,Property Damage Crash,2023-12-23T10:14:00.000,No,2,5,No,Missing,DRIVER,SAME DIRECTION LEFT TURN,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),3.83,North,South,North,0.0,FEET,LEVEL,ROCKVILLE PIKE,County,POOKS HILL RD,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP30400061,230073266,Montgomery County Police,Property Damage Crash,2023-12-23T06:30:00.000,No,2,3,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,Missing,Missing,County,3.33,East,West,East,0.0,FEET,LEVEL,RANDOLPH RD,County,LIVINGSTON ST,Missing,DRY,INTERSECTION,T-INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP3305002X,230073258,Montgomery County Police,Property Damage Crash,2023-12-23T05:00:00.000,No,1,2,No,Missing,DRIVER,HEAD ON,CLEAR,DARK NO LIGHTS,NO CONTROLS,ALCOHOL PRESENT,PARKED VEHICLE,PARKED VEHICLE,Missing,County,0.29,South,East,North,150.0,FEET,LEVEL,GLENVILLE RD,County,E WAYNE AVE,Missing,DRY,NON INTERSECTION,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP3322002B,230073262,Montgomery County Police,Property Damage Crash,2023-12-23T04:50:00.000,No,1,1,No,Missing,DRIVER,SAME DIR REAR END,CLOUDY,DARK LIGHTS ON,Missing,Missing,OTHER VEHICLE,OTHER VEHICLE,Missing,County,0.45,South,South,South,200.0,FEET,LEVEL,ARCTIC AVE,County,BAUER DR,Missing,DRY,NON INTERSECTION,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP33090027,230073253,Montgomery County Police,Property Damage Crash,2023-12-23T02:15:00.000,No,1,1,No,Missing,DRIVER,SINGLE VEHICLE,Missing,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,FIXED OBJECT,Missing,TREE SHRUBBERY,Maryland (State),16.57,East,East,East,50.0,FEET,LEVEL,ASHTON RD,Maryland (State),NEW HAMPSHIRE AVE,Missing,DRY,NON INTERSECTION,Missing,Missing,CURVE LEFT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",Missing,Missing,Missing
MCP2907002W,230073250,Montgomery County Police,Injury Crash,2023-12-23T01:40:00.000,No,1,2,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,Missing,OTHER VEHICLE,Missing,Maryland (State),5.97,North,East,North,0.0,FEET,LEVEL,BRADLEY BLVD,County,ARLINGTON RD,Missing,DRY,INTERSECTION,T-INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
EJ7870006N,230073223,Gaithersburg Police Depar,Injury Crash,2023-12-22T20:55:00.000,No,3,5,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),2.103,North,North,North,0.0,FEET,LEVEL,GREAT SENECA HWY,Municipality,ORCHARD RIDGE DR,GAITHERSBURG,DRY,INTERSECTION,FOUR-WAY INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP27220052,230073226,Montgomery County Police,Property Damage Crash,2023-12-22T20:31:00.000,No,2,2,No,Missing,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,Missing,Missing,County,1.62,North,North,North,600.0,FEET,LEVEL,ASPEN HILL RD,Maryland (State),CONNECTICUT AVE,Missing,Missing,Missing,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP23350026,230073217,Montgomery County Police,Property Damage Crash,2023-12-22T20:30:00.000,No,1,2,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,Missing,Missing,County,1.35,East,West,West,30.0,FEET,HILL CREST,MIDDLEBROOK RD,County,WARING STATION RD,Missing,DRY,NON INTERSECTION,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP32590041,230073341,Montgomery County Police,Property Damage Crash,2023-12-22T19:30:00.000,No,1,1,No,Missing,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DARK -- UNKNOWN LIGHTING,NO CONTROLS,Missing,PARKED VEHICLE,Missing,Missing,Municipality,0.31,West,West,West,0.0,UNKNOWN,LEVEL,BALTIMORE ST,Municipality,PROSPECT ST,KENSINGTON,DRY,Missing,FOUR-WAY INTERSECTION,Missing,UNKNOWN,UNKNOWN,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP33530024,230073214,Montgomery County Police,Injury Crash,2023-12-22T19:17:00.000,Yes,0,3,No,Missing,NONMOTORIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK LIGHTS ON,Missing,UNKNOWN,PEDESTRIAN,PEDESTRIAN,Missing,Maryland (State),6.64,North,North,North,0.0,FEET,LEVEL,GEORGIA AVE,County,WENDY LA,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",PEDESTRIAN,NONE DETECTED,UNKNOWN
MCP2906003D,230073209,Montgomery County Police,Injury Crash,2023-12-22T19:00:00.000,No,0,2,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,Missing,OTHER VEHICLE,OTHER VEHICLE,Missing,County,2.77,North,North,North,0.0,FEET,LEVEL,MUDDY BRANCH RD,Municipality,W DEER PARK RD,GAITHERSBURG,DRY,INTERSECTION,Y-INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,OTHER
DM8504001K,230073211,Takoma Park Police Depart,Property Damage Crash,2023-12-22T19:00:00.000,Yes,1,1,No,Missing,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DARK NO LIGHTS,NO CONTROLS,Missing,OTHER VEHICLE,Missing,Missing,Municipality,0.0,South,South,South,0.0,FEET,LEVEL,GLENSIDE DR,Municipality,GLENSIDE DR,TAKOMA PARK,DRY,Missing,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
DM85020014,230073201,Takoma Park Police Depart,Property Damage Crash,2023-12-22T17:58:00.000,No,0,2,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,DARK LIGHTS ON,Missing,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),0.27,North,South,North,0.27,UNKNOWN,Missing,NEW HAMPSHIRE AVE,Municipality,LINDEN AVE,TAKOMA PARK,DRY,OTHER,Missing,OTHER,STRAIGHT,Missing,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
EJ7871006Y,230073197,Gaithersburg Police Depar,Property Damage Crash,2023-12-22T17:55:00.000,No,1,2,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,"N/A, NONE DETECTED",OTHER VEHICLE,Missing,Missing,County,2.9,North,East,North,100.0,FEET,LEVEL,MUDDY BRANCH RD,Unknown,KING JAMES WAY,Missing,DRY,INTERSECTION RELATED,FOUR-WAY INTERSECTION,INTERSECTION RELATED,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP30530074,230073195,Montgomery County Police,Property Damage Crash,2023-12-22T17:29:00.000,No,1,2,No,Missing,DRIVER,OTHER,CLEAR,DARK LIGHTS ON,Missing,Missing,OTHER VEHICLE,Missing,Missing,Maryland (State),3.86,East,West,West,5.0,FEET,LEVEL,VEIRS MILL RD,County,FERRARA AVE,Missing,DRY,NON INTERSECTION,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
EJ786600DG,230073193,Gaithersburg Police Depar,Property Damage Crash,2023-12-22T17:25:00.000,No,0,2,No,Missing,DRIVER,SAME DIRECTION SIDESWIPE,CLOUDY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Municipality,0.25,North,East,South,0.1,MILE,LEVEL,W WATKINS MILL RD,Unknown,ROAD END,Missing,DRY,INTERCHANGE RELATED,OTHER,ON RAMP ENTRANCE AREA,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,LEFT TURN LANE
MCP23390093,230073189,Montgomery County Police,Property Damage Crash,2023-12-22T16:59:00.000,Yes,2,2,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,"NONE DETECTED, UNKNOWN",OTHER VEHICLE,Missing,Missing,County,0.165,North,North,South,0.1,MILE,LEVEL,BOU AVE,Unknown,CHAPMAN AVE,Missing,DRY,INTERSECTION RELATED,FOUR-WAY INTERSECTION,Missing,CURVE LEFT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",Missing,Missing,Missing
MCP27230088,230073187,Montgomery County Police,Property Damage Crash,2023-12-22T16:30:00.000,No,1,1,No,Missing,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,PARKED VEHICLE,Missing,Missing,County,0.01,North,East,North,50.0,FEET,LEVEL,LOYOLA ST,County,PALMIRA LA,Missing,DRY,NON INTERSECTION,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
