report_number,local_case_number,agency_name,acrs_report_type,crash_date_time,off_road_description,collision_type,weather,light,traffic_control,driver_substance_abuse,person_id,driver_at_fault,injury_severity,circumstance,driver_distracted_by,drivers_license_state,vehicle_id,vehicle_damage_extent,vehicle_first_impact_location,vehicle_second_impact_location,vehicle_body_type,vehicle_movement,vehicle_continuing_dir,vehicle_going_dir,speed_limit,driverless_vehicle,parked_vehicle,vehicle_year,vehicle_make,vehicle_model,equipment_problems,route_type,road_name,cross_street_type,cross_street_name,municipality,surface_condition,related_non_motorist,non_motorist_substance_abuse
MCP28180051,230073940,Montgomery County Police,Property Damage Crash,2023-12-28T07:20:00.000,,OTHER,RAINING,DAWN,YIELD SIGN,NONE DETECTED,A4FB212E-9EE2-4BC1-9406-C83BAD5AC77E,No,NO APPARENT INJURY,"V WIPERS|W OTHER ENVIRONMENTAL, WET",NOT DISTRACTED,MD,2CDD8E31-F2BD-4A97-B547-CB084C2C8E8A,FUNCTIONAL,THREE OCLOCK,THREE OCLOCK,PICKUP TRUCK,MOVING CONSTANT SPEED,West,West,40,No,No,2012,GMC,PK,NO MISUSE,Maryland (State),KEY WEST AVE,Unknown,SPUR FR SHADY GROVE RD,N/A,WET,,
MCP28180051,230073940,Montgomery County Police,Property Damage Crash,2023-12-28T07:20:00.000,,OTHER,RAINING,DAWN,YIELD SIGN,NONE DETECTED,B5DC5405-B6B9-4186-943E-04CDE11B2CC3,Yes,NO APPARENT INJURY,"V WIPERS|W OTHER ENVIRONMENTAL, WET",LOOKED BUT DID NOT SEE,MD,A6CEDA65-730A-489D-9F11-FB7E9BECD2E1,DISABLING,ELEVEN OCLOCK,ELEVEN OCLOCK,PASSENGER CAR,MAKING RIGHT TURN,West,West,40,No,No,2019,VOLK,HB,NO MISUSE,Maryland (State),KEY WEST AVE,Unknown,SPUR FR SHADY GROVE RD,N/A,WET,,
MCP242500J2,230073939,Montgomery County Police,Property Damage Crash,2023-12-28T07:03:00.000,,STRAIGHT MOVEMENT ANGLE,RAINING,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,F5966620-9DB2-4763-94EE-9A213978250F,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,3CF5D250-E559-4FEC-AB11-0913D862C9B0,DISABLING,TEN OCLOCK,TEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,35,No,No,2020,INFINIT,QX50,NO MISUSE,County,BEL PRE RD,County,CONNECTICUT AVE,N/A,WET,,
MCP242500J2,230073939,Montgomery County Police,Property Damage Crash,2023-12-28T07:03:00.000,,STRAIGHT MOVEMENT ANGLE,RAINING,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,58831A78-D44F-4369-8E22-E663D0089DCD,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",LOOKED BUT DID NOT SEE,MD,B6F2CB5A-2F5F-4071-BABB-9B527E035BF6,FUNCTIONAL,TWELVE OCLOCK,TWELVE OCLOCK,STATION WAGON,MAKING LEFT TURN,South,West,35,No,No,2012,CHEVY,VAN,NO MISUSE,County,BEL PRE RD,County,CONNECTICUT AVE,N/A,WET,,
MCP29910096,230073938,Montgomery County Police,Injury Crash,2023-12-28T06:30:00.000,,OTHER,RAINING,DAWN,TRAFFIC SIGNAL,NONE DETECTED,F2D0E4F8-A2C2-4D4A-A0CA-77A52BB26704,No,POSSIBLE INJURY,"N/A, WET",NOT DISTRACTED,MD,F9308B5D-0C72-451D-B775-32769594EBA9,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,West,West,0,No,No,2019,ISU,HACLEY,N/A,Maryland (State),NEW HAMPSHIRE AVE,County,BRIGGS CHANEY RD,N/A,WET,,
MCP29910096,230073938,Montgomery County Police,Injury Crash,2023-12-28T06:30:00.000,,OTHER,RAINING,DAWN,TRAFFIC SIGNAL,NONE DETECTED,83FAE4D9-9F93-40DB-9BAB-8BD4CBB25D1E,Yes,NO APPARENT INJURY,"N/A, WET",NOT DISTRACTED,MD,A22922E7-DC09-4349-B999-76B367FC828C,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MAKING RIGHT TURN,East,North,25,No,No,2014,INFI,4S,NO MISUSE,Maryland (State),NEW HAMPSHIRE AVE,County,BRIGGS CHANEY RD,N/A,WET,,
MCP23350024,230073936,Montgomery County Police,Injury Crash,2023-12-28T05:25:00.000,,STRAIGHT MOVEMENT ANGLE,RAINING,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,NONE DETECTED,DA71327A-865F-4F87-94B8-3E027A18EA35,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,NJ,216D6121-3A2D-4E4B-AAD3-41AD93C1BFEB,DISABLING,ONE OCLOCK,ONE OCLOCK,"CARGO VAN/LIGHT TRUCK 2 AXLES (OVER 10,000LBS (4,536 KG))",MOVING CONSTANT SPEED,East,East,45,No,No,2017,HINO,STAIGHT TK,NO MISUSE,County,RIDGE RD,County,OBSERVATION DR,N/A,WET,,
MCP23350024,230073936,Montgomery County Police,Injury Crash,2023-12-28T05:25:00.000,,STRAIGHT MOVEMENT ANGLE,RAINING,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,NONE DETECTED,995F75FF-4C9D-4B9B-B3EF-8988071B9236,Yes,SUSPECTED MINOR INJURY,N/A,NOT DISTRACTED,PA,5FBD7713-2D61-467E-BC42-8C9B8EC1C67A,DISABLING,ELEVEN OCLOCK,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,45,No,No,2007,HONDA,CIVIC,NO MISUSE,County,RIDGE RD,County,OBSERVATION DR,N/A,WET,,
MCP3277003D,230073934,Montgomery County Police,Property Damage Crash,2023-12-28T05:09:00.000,,SINGLE VEHICLE,RAINING,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,NONE DETECTED,E9AB4B4F-92BE-415A-ADA0-C9E72FC6AB7E,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",UNKNOWN,MD,EEA9F5A5-5C0A-49D6-B44A-4EEA0FDA2EF3,DISABLING,ELEVEN OCLOCK,ELEVEN OCLOCK,PASSENGER CAR,SKIDDING,North,North,35,No,No,2015,CHRYSLER,200,NO MISUSE,County,WATKINS MILL RD,Unknown,END BRIDGE,N/A,WET,,
HA24930006,23002420,Maryland-National Capital,Injury Crash,2023-12-28T00:56:00.000,,STRAIGHT MOVEMENT ANGLE,RAINING,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,NONE DETECTED,2F160F9F-2228-4152-BE8D-F3EDB7A9861B,No,POSSIBLE INJURY,"SLEET, HAIL, FREEZ. RAIN, WET",UNKNOWN,TN,0BF8685E-2F30-447E-8100-DB63AE4388A1,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,UNKNOWN,West,West,40,No,No,2001,TOYOTA,ECHO,N/A,County,RANDOLPH RD,County,GLENALLAN AVE,N/A,WET,,
HA24930006,23002420,Maryland-National Capital,Injury Crash,2023-12-28T00:56:00.000,,STRAIGHT MOVEMENT ANGLE,RAINING,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,NONE DETECTED,C05EAEE2-E700-4C16-BE9B-61D4CBE89E2D,Yes,POSSIBLE INJURY,"SLEET, HAIL, FREEZ. RAIN, WET",UNKNOWN,MD,54B5BE98-90B7-4831-9987-C4A6D78FB906,DISABLING,TEN OCLOCK,TEN OCLOCK,POLICE VEHICLE/EMERGENCY,MOVING CONSTANT SPEED,South,South,30,No,No,2014,DODGE,CHARGER,N/A,County,RANDOLPH RD,County,GLENALLAN AVE,N/A,WET,,
MCP2582004Y,230073926,Montgomery County Police,Property Damage Crash,2023-12-27T23:46:00.000,,OPPOSITE DIRECTION SIDESWIPE,RAINING,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,4DE2B773-6901-47B7-855D-7B0D0C1692D0,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,0A882124-7A27-49E6-A60E-BA5852AAF9EE,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,West,West,35,No,No,2017,BMW,X3,NO MISUSE,County,BONIFANT RD,County,BONIFIANT PARK DR,N/A,WET,,
MCP2582004Y,230073926,Montgomery County Police,Property Damage Crash,2023-12-27T23:46:00.000,,OPPOSITE DIRECTION SIDESWIPE,RAINING,DARK LIGHTS ON,NO CONTROLS,ALCOHOL PRESENT,02291D90-2B3B-4773-98DE-4D28D921334B,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",UNKNOWN,MD,471C2F8A-F306-488D-B569-9C355BF2D1DD,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PICKUP TRUCK,NEGOTIATING A CURVE,East,East,35,No,No,2007,TOYOTA,TUNDRA,NO MISUSE,County,BONIFANT RD,County,BONIFIANT PARK DR,N/A,WET,,
DM85220015,230073912,Takoma Park Police Depart,Property Damage Crash,2023-12-27T20:50:00.000,,OTHER,RAINING,DARK LIGHTS ON,TRAFFIC SIGNAL,N/A,1262B966-EA36-4467-8150-576521853963,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,4698989D-EF6D-4DFE-9437-16B790878D28,UNKNOWN,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,BACKING,North,East,30,No,No,2018,LAND ROVER,SUV,UNKNOWN,,UNIVERSITY BLVD E,,NEW HAMPSHIRE AVE,N/A,WET,,
DM85220015,230073912,Takoma Park Police Depart,Property Damage Crash,2023-12-27T20:50:00.000,,OTHER,RAINING,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,AAE0EA03-B119-4A93-8C72-011818644C3C,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,VA,3C733EC5-171D-492D-92DD-8C3C71C1DA5D,FUNCTIONAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,PARKED,,,30,No,Yes,2016,TOYT,4S,N/A,,UNIVERSITY BLVD E,,NEW HAMPSHIRE AVE,N/A,WET,,
MCP32490059,230073909,Montgomery County Police,Property Damage Crash,2023-12-27T20:06:00.000,,HEAD ON LEFT TURN,RAINING,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,F7CB2849-C3C1-4AAC-B5DE-3552B2BACE2E,Unknown,NO APPARENT INJURY,"RAIN, SNOW, WET",UNKNOWN,MD,A990F8FD-953E-4E00-9298-7F87928AB721,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,West,West,35,No,No,2008,FORD,ESCAPE,NO MISUSE,County,BRIGGS CHANEY RD,Unknown,ENT TO BRIGGS CHANEY OUTLETS,N/A,WET,,
MCP32490059,230073909,Montgomery County Police,Property Damage Crash,2023-12-27T20:06:00.000,,HEAD ON LEFT TURN,RAINING,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,728EB17B-56F2-40B0-8B96-89C695F9A649,Unknown,NO APPARENT INJURY,"RAIN, SNOW, WET",UNKNOWN,MD,11366637-A64D-40D1-9FBB-823A5609C84E,FUNCTIONAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,North,East,35,No,No,2015,TOYT,4S,NO MISUSE,County,BRIGGS CHANEY RD,Unknown,ENT TO BRIGGS CHANEY OUTLETS,N/A,WET,,
MCP1233005G,230073906,Montgomery County Police,Injury Crash,2023-12-27T19:42:00.000,,N/A,RAINING,DARK NO LIGHTS,STOP SIGN,NONE DETECTED,5AE73A81-D266-4011-8584-2BB41F2B0DF3,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,96E0EBFE-89BB-44A4-B4F5-4A39FA4FEDAC,NO DAMAGE,TWELVE OCLOCK,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,STARTING FROM LANE,North,North,25,No,No,2023,SUBA,FORESTER,NO MISUSE,County,HAMPDEN LA,County,ARLINGTON RD,N/A,WET,PEDESTRIAN,NONE DETECTED
MCP3325002P,230073904,Montgomery County Police,Injury Crash,2023-12-27T19:21:00.000,,OTHER,RAINING,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,9365F8AE-245E-46B7-9A80-C61D99B829D1,Yes,POSSIBLE INJURY,"RAIN, SNOW, WET",LOOKED BUT DID NOT SEE,MD,050F849C-8636-4681-9277-7E9A6CF8A6C3,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,TRANSIT BUS,MAKING RIGHT TURN,East,North,25,No,No,2009,GILLIG,TRANSIT BUS,NO MISUSE,County,GALWAY DR,County,FAIRLAND RD,N/A,WET,,
MCP3262003T,230073905,Montgomery County Police,Property Damage Crash,2023-12-27T19:09:00.000,,STRAIGHT MOVEMENT ANGLE,RAINING,DARK LIGHTS ON,STOP SIGN,UNKNOWN,DAD60F3F-D8E6-4990-A3DA-DDCB897CD3C4,Yes,NO APPARENT INJURY,"N/A, WET",UNKNOWN,,D5E02568-C0DB-4756-AA82-88B04AC88842,FUNCTIONAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,West,West,5,No,No,2016,TOYOTA,COROLLA,UNKNOWN,County,GREENCASTLE RD,Unknown,GATEWAY TER,N/A,WET,,
MCP3262003T,230073905,Montgomery County Police,Property Damage Crash,2023-12-27T19:09:00.000,,STRAIGHT MOVEMENT ANGLE,RAINING,DARK LIGHTS ON,STOP SIGN,NONE DETECTED,6E1D10C6-1EF1-452B-B3C9-114502AFBB6B,No,NO APPARENT INJURY,"N/A, WET",NOT DISTRACTED,MD,08D0E020-5D1F-4806-98FF-84EEF8387970,FUNCTIONAL,ONE OCLOCK,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,5,No,No,2012,FORD,TK,NO MISUSE,County,GREENCASTLE RD,Unknown,GATEWAY TER,N/A,WET,,
MCP3192004J,230073896,Montgomery County Police,Property Damage Crash,2023-12-27T18:01:00.000,,STRAIGHT MOVEMENT ANGLE,RAINING,DARK LIGHTS ON,STOP SIGN,NONE DETECTED,A489C47C-E9CF-48D0-B70A-622043E9A090,Unknown,NO APPARENT INJURY,"RAIN, SNOW, WET",UNKNOWN,MD,0778C959-48DE-45B3-AD2E-5969CABA8BC7,FUNCTIONAL,ELEVEN OCLOCK,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,25,No,No,2019,MAZDA,6,NO MISUSE,County,ELKIN ST,County,AMHERST AVE,N/A,WET,,
MCP3192004J,230073896,Montgomery County Police,Property Damage Crash,2023-12-27T18:01:00.000,,STRAIGHT MOVEMENT ANGLE,RAINING,DARK LIGHTS ON,STOP SIGN,NONE DETECTED,94CCC4FE-EE0D-4ADB-BA9A-9E5B8ECE5BCE,Unknown,NO APPARENT INJURY,"RAIN, SNOW, WET",UNKNOWN,MD,880C316F-FF43-4F2E-A12F-6660DF195C9F,FUNCTIONAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,East,25,No,No,2018,TOYOTA,RAV 4,NO MISUSE,County,ELKIN ST,County,AMHERST AVE,N/A,WET,,
MCP3245004X,230073892,Montgomery County Police,Property Damage Crash,2023-12-27T17:47:00.000,,SINGLE VEHICLE,RAINING,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,1D0684FB-BB23-4C1F-ADC7-0ED7B6D25495,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,FB539DA5-AD6C-4CFE-9904-A46616F2D2E1,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,50,No,No,2015,HONDA,CIVIC,NO MISUSE,County,AIRPARK RD,County,ANTARES DR,N/A,WET,,
MCP31260054,230073882,Montgomery County Police,Injury Crash,2023-12-27T17:20:00.000,,STRAIGHT MOVEMENT ANGLE,RAINING,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,7C4763F0-86ED-4741-B164-149FCF8D547D,No,POSSIBLE INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,4790B3C3-F9E7-4407-B3C0-D6B1F68E0857,DESTROYED,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,40,No,No,2015,FORD,FIESTA,NO MISUSE,Maryland (State),FREDERICK RD,County,LITTLE SENECA PKWY,N/A,WET,,
MCP31260054,230073882,Montgomery County Police,Injury Crash,2023-12-27T17:20:00.000,,STRAIGHT MOVEMENT ANGLE,RAINING,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,12255B69-8E8F-494E-BDF7-8E3721C27FF8,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",LOOKED BUT DID NOT SEE,MD,8CD696A2-B3C2-49F5-910C-E7789AF18920,DESTROYED,TWO OCLOCK,TWO OCLOCK,PASSENGER CAR,MAKING LEFT TURN,East,South,40,No,No,2006,MINNI,COOPER,NO MISUSE,Maryland (State),FREDERICK RD,County,LITTLE SENECA PKWY,N/A,WET,,
EJ7844001P,230073894,Gaithersburg Police Depar,Property Damage Crash,2023-12-27T17:20:00.000,PARKING LOT OF 751 PROSPECT WAY,SAME DIR REAR END,RAINING,DUSK,N/A,UNKNOWN,58E4FA48-E23E-493C-9348-A23F6C0B7016,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,872AABFA-762C-4A5B-8383-01FC0D34B543,UNKNOWN,SIX OCLOCK,SIX OCLOCK,(SPORT) UTILITY VEHICLE,BACKING,Unknown,Unknown,0,No,No,2024,UNK,UNK,UNKNOWN,,,,,,,,
EJ7844001P,230073894,Gaithersburg Police Depar,Property Damage Crash,2023-12-27T17:20:00.000,PARKING LOT OF 751 PROSPECT WAY,SAME DIR REAR END,RAINING,DUSK,N/A,NONE DETECTED,EADC65A7-BF81-4682-A26D-3C84FB942C85,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,CC9E6290-D44F-4A56-81BC-C0CD28C26F96,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,PARKED,,,0,No,Yes,2008,TOYT,SD,NO MISUSE,,,,,,,,
MCP2641003R,230073886,Montgomery County Police,Property Damage Crash,2023-12-27T17:15:00.000,,SINGLE VEHICLE,RAINING,DARK LIGHTS ON,N/A,NONE DETECTED,315608CA-2CF9-4B36-82FD-E7BECDBB86CB,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,19D0B99F-1C74-49A7-9BAF-AEA34B3910A1,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,SKIDDING,North,North,25,No,No,2007,BMW,530I,NO MISUSE,Other Public Roadway,PARKER FARM WAY,Other Public Roadway,RED EAGLE LA,N/A,WET,,
MCP2799007L,230073884,Montgomery County Police,Property Damage Crash,2023-12-27T17:15:00.000,,STRAIGHT MOVEMENT ANGLE,RAINING,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,7391D074-8A35-4DC4-8548-AA3EE65D537D,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",UNKNOWN,MD,28F6FCEE-91EF-4E44-B150-9E3A80EE9E4B,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,30,No,No,2016,VOLKS,CV,NO MISUSE,County,FOREST GLEN RD,County,LINDEN LA (BACK),N/A,WET,,
MCP2799007L,230073884,Montgomery County Police,Property Damage Crash,2023-12-27T17:15:00.000,,STRAIGHT MOVEMENT ANGLE,RAINING,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,BE23B77E-1701-4EE2-87E0-70BC4D086ECC,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",UNKNOWN,MD,22703A5D-A3EA-423C-82CE-3BE22A46A2CF,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,30,No,No,2012,TOYT,CAMRY,NO MISUSE,County,FOREST GLEN RD,County,LINDEN LA (BACK),N/A,WET,,
MCP3030005Q,230073885,Montgomery County Police,Property Damage Crash,2023-12-27T17:11:00.000,,OTHER,RAINING,DARK LIGHTS ON,NO CONTROLS,N/A,A961F70E-ACAC-4293-9636-A7F92763A000,No,NO APPARENT INJURY,"SLEET, HAIL, FREEZ. RAIN, WET",NOT DISTRACTED,MD,6701F66D-9A3E-4B49-9F6C-F8AEB899E2C9,FUNCTIONAL,THREE OCLOCK,THREE OCLOCK,"CARGO VAN/LIGHT TRUCK 2 AXLES (OVER 10,000LBS (4,536 KG))",PARKED,,,35,No,Yes,2023,DODGE,US POSTAL,N/A,County,WORTHINGTON DR,County,BALTIMORE AVE,N/A,WET,,
MCP3030005Q,230073885,Montgomery County Police,Property Damage Crash,2023-12-27T17:11:00.000,,OTHER,RAINING,DARK LIGHTS ON,NO CONTROLS,N/A,D3685CD2-5EA9-4E0A-8E64-2CF1DE840061,Yes,NO APPARENT INJURY,"SLEET, HAIL, FREEZ. RAIN, WET",UNKNOWN,,F19A073F-2E4C-4026-BFB3-3A49C976D109,UNKNOWN,TWO OCLOCK,TWO OCLOCK,"CARGO VAN/LIGHT TRUCK 2 AXLES (OVER 10,000LBS (4,536 KG))",MOVING CONSTANT SPEED,South,South,35,No,No,2023,XXXX,XX,UNKNOWN,County,WORTHINGTON DR,County,BALTIMORE AVE,N/A,WET,,
MCP2286005T,230073881,Montgomery County Police,Injury Crash,2023-12-27T17:00:00.000,,HEAD ON LEFT TURN,RAINING,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,3EF8C8D6-63EB-4110-8DE6-31264DCA32FF,No,POSSIBLE INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,CB9ACBD1-CEA4-482C-BFDF-CA45769BD099,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,West,West,40,No,No,2016,TOYOTA,RAV4,NO MISUSE,County,REDLAND RD,Unknown,ENT SHADY GROVE METRO STATION,N/A,WET,,
MCP2286005T,230073881,Montgomery County Police,Injury Crash,2023-12-27T17:00:00.000,,HEAD ON LEFT TURN,RAINING,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,9496AA0D-A534-41DA-B8B5-0AD1038485AE,Yes,POSSIBLE INJURY,"RAIN, SNOW, WET",LOOKED BUT DID NOT SEE,MD,0A5F9A3D-7902-4FDB-97B2-A19957E1423E,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MAKING LEFT TURN,North,North,40,No,No,2023,TOYOTA,RAV4,NO MISUSE,County,REDLAND RD,Unknown,ENT SHADY GROVE METRO STATION,N/A,WET,,
MCP2866008R,230073900,Montgomery County Police,Property Damage Crash,2023-12-27T16:59:00.000,,SINGLE VEHICLE,RAINING,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,874B5D37-A8DB-436A-A759-63D9FB742072,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,DB745B61-59B7-4672-9736-AFB5D03FAAE7,FUNCTIONAL,FIVE OCLOCK,FIVE OCLOCK,VAN,ACCELERATING,East,East,30,No,No,2000,CHEV,ASTROVAN,NO MISUSE,County,CEDAR LA,Maryland (State),ROCKVILLE PIKE,N/A,WET,,
MCP3170003S,230073862,Montgomery County Police,Property Damage Crash,2023-12-27T16:50:00.000,,OTHER,RAINING,DAYLIGHT,NO CONTROLS,NONE DETECTED,B5C0E005-9986-450F-9A9D-505F9E797678,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,90195E78-D0E1-4830-8AEA-B5F808E57F19,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,PARKED,,,30,No,Yes,2003,MERCEDES,ML350,NO MISUSE,County,LOCBURY DR,County,WATERS LANDING DR,N/A,WET,,
MCP3170003S,230073862,Montgomery County Police,Property Damage Crash,2023-12-27T16:50:00.000,,OTHER,RAINING,DAYLIGHT,NO CONTROLS,UNKNOWN,F1C47C5F-1104-4AC9-9CE4-4114B51C1AE7,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,,852F4958-F354-4585-8821-B76B766B70D4,UNKNOWN,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,BACKING,Unknown,Unknown,30,No,No,2006,TOYOTA,TACOMA,NO MISUSE,County,LOCBURY DR,County,WATERS LANDING DR,N/A,WET,,
DD5663000L,230073872,Rockville Police Departme,Injury Crash,2023-12-27T16:14:00.000,,SAME DIRECTION RIGHT TURN,RAINING,DUSK,TRAFFIC SIGNAL,NONE DETECTED,85B8F1A0-72BD-4A31-9AD1-2C65D9311896,No,POSSIBLE INJURY,N/A,NOT DISTRACTED,MD,8725B900-21AB-42A5-B793-668A98C38CB6,FUNCTIONAL,ELEVEN OCLOCK,ELEVEN OCLOCK,PASSENGER CAR,STARTING FROM LANE,South,South,40,No,No,2017,TOYT,COROLLA,NO MISUSE,Maryland (State),HUNGERFORD DR,Municipality,E MIDDLE LA,ROCKVILLE,WET,,
DD5663000L,230073872,Rockville Police Departme,Injury Crash,2023-12-27T16:14:00.000,,SAME DIRECTION RIGHT TURN,RAINING,DUSK,TRAFFIC SIGNAL,NONE DETECTED,194875B4-7578-4326-9475-AC20D7A57E0F,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,1FF4484B-EC74-4532-A301-A7822829844F,SUPERFICIAL,ONE OCLOCK,ONE OCLOCK,FIRE VEHICLE/EMERGENCY,ACCELERATING,West,South,40,No,No,2009,CHEV,VN,NO MISUSE,Maryland (State),HUNGERFORD DR,Municipality,E MIDDLE LA,ROCKVILLE,WET,,
MCP3207003Q,230073857,Montgomery County Police,Injury Crash,2023-12-27T15:17:00.000,,STRAIGHT MOVEMENT ANGLE,RAINING,DAYLIGHT,NO CONTROLS,NONE DETECTED,83903612-3E61-47A0-B473-EF4ACE9ABD78,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,D6191B82-3AFE-4B88-8CEC-BC132E6BD8C8,DISABLING,TEN OCLOCK,TEN OCLOCK,PASSENGER CAR,MAKING RIGHT TURN,South,South,40,No,No,2019,NISSAN,SENTRA,NO MISUSE,Maryland (State),NEW HAMPSHIRE AVE,County,THOMAS DR,N/A,WET,,
MCP3207003Q,230073857,Montgomery County Police,Injury Crash,2023-12-27T15:17:00.000,,STRAIGHT MOVEMENT ANGLE,RAINING,DAYLIGHT,NO CONTROLS,NONE DETECTED,74CE7FB4-718E-4057-893C-589D1DE138CC,No,POSSIBLE INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,5AF0C373-54F9-4A75-8F4A-F3EDDC01AA81,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,40,No,No,2021,NISSAN,VERSA,NO MISUSE,Maryland (State),NEW HAMPSHIRE AVE,County,THOMAS DR,N/A,WET,,
MCP3111007M,230073855,Montgomery County Police,Injury Crash,2023-12-27T15:17:00.000,,HEAD ON,RAINING,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,E6F79DC6-749F-4354-BB71-9922C367B30F,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,6B9F3BF1-0B80-4FAA-88F6-DD4F6E0FB56F,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,VAN,STOPPED IN TRAFFIC LANE,South,South,25,No,No,2019,FORD,TRANSIT,NO MISUSE,County,NEBEL ST,County,RANDOLPH RD,N/A,WET,,
